X;Y;SIGLA
7,438163603;45,14444395;TO
8,209818848;45,52432877;VC
8,554191158;45,56314132;NO
7,587873514;44,47694113;CN
8,186285657;44,87743461;AT
8,663753202;44,82823236;AL
7,386985924;45,73033505;AO
7,807255292;43,94639413;IM
8,289480952;44,28136184;SV
9,122174065;44,46758688;GE
9,731266641;44,22703134;SP
8,776238669;45,80441404;VA
9,152207443;45,9286651;CO
9,911323819;46,29729369;SO
9,123095859;45,46157996;MI
9,78767211;45,79635272;BG
10,31133617;45,70072929;BS
9,037345312;45,1086729;PV
9,995104903;45,21928563;CR
10,76231342;45,12449645;MN
11,41541496;46,69688972;BZ
11,11993444;46,13473941;TN
11,0370039;45,41639331;VR
11,49072018;45,67329613;VI
12,15875061;46,30916191;BL
12,21758902;45,79458332;TV
12,45618091;45,50620863;VE
11,80770168;45,34898422;PD
11,92634444;45,01094006;RO
13,15230718;46,22401326;UD
13,47790627;45,84035156;GO
13,76558803;45,69028066;TS
9,619936477;44,86692268;PC
10,04683799;44,66971728;PR
10,55091811;44,60542457;RE
10,89137657;44,53578434;MO
11,34722591;44,43060066;BO
11,8479279;44,78848419;FE
11,99619146;44,37131385;RA
12,03736884;44,0369951;FC
12,67851315;43,69635626;PU
13,15496257;43,50375372;AN
13,23896585;43,18907877;MC
13,55468467;42,88788297;AP
10,01107255;44,25512284;MS
10,43686142;44,00499922;LU
10,84894269;43,96761928;PT
11,29054129;43,81717043;FI
10,47861743;43,14387971;LI
10,66776591;43,50161532;PI
11,85678073;43,53355298;AR
11,45730446;43,19083114;SI
11,24516741;42,78746689;GR
12,53242817;43,06601767;PG
12,36750467;42,6645342;TR
11,9953439;42,42394668;VT
12,96009723;42,37628875;RI
12,57242476;41,92302703;RM
13,14566658;41,42893761;LT
13,53627983;41,61509191;FR
14,16086624;41,21728229;CE
14,75107807;41,23980252;BN
14,34237833;40,84436658;NA
15,07902327;40,9765566;AV
15,23122699;40,44072794;SA
13,6032169;42,10359248;AQ
13,72660752;42,64510592;TE
13,9839581;42,33180039;PE
14,3823577;42,1000589;CH
14,77623267;41,70216545;CB
15,5605447;41,53746381;FG
16,75210658;40,93110731;BA
17,20249899;40,54179903;TA
17,69150939;40,60913336;BR
18,17785822;40,17273987;LE
15,89109046;40,51441175;PZ
16,44602728;40,46878776;MT
16,32312395;39,56422329;CS
16,49032075;38,89575777;CZ
16,03130399;38,23897654;RC
12,7057725;37,81032696;TP
13,587268;37,86973902;PA
14,9424198;38,03903717;ME
13,50899352;37,42902545;AG
14,07358837;37,35653929;CL
14,42926779;37,58056103;EN
14,82863798;37,51189529;CT
14,68274826;36,90757335;RG
15,02985685;37,07542886;SR
8,963444214;40,74701202;SS
9,369057886;40,18131379;NU
9,107089124;39,20737879;CA
12,68203633;46,10801332;PN
14,24948072;41,64929045;IS
8,717139598;39,98928449;OR
8,094742645;45,58223412;BI
9,38551921;45,90398509;LC
9,579910872;45,23098203;LO
12,43963819;43,9269074;RN
11,09307347;43,95124456;PO
16,9464159;39,17742901;KR
16,16164467;38,62499003;VV
8,342299297;46,08957646;VB
9,270472011;45,63164369;MB
13,57657918;43,09911525;FM
16,17131233;41,17273591;BT
8,944391028;39,42851153;SU
